T_min,date,T_max,H_min,H_max,extrap
289.60166666666663,2020-07-17,296.80333333333334,55.779661016949156,87.03389830508475,0.0
288.835,2020-07-18,298.70166666666665,47.6551724137931,87.36206896551724,0.0
288.62,2020-07-19,299.98333333333335,44.20689655172413,84.8793103448276,0.0
289.87833333333333,2020-07-20,299.17333333333335,49.40677966101695,83.13559322033899,0.0
289.92,2020-07-21,299.1500000000001,47.779661016949156,81.42372881355931,0.0
289.8383333333333,2020-07-22,299.035,47.5593220338983,79.9491525423729,0.0
289.4683333333333,2020-07-23,299.0499999999999,47.50847457627118,82.0677966101695,0.0
290.6499999999998,2020-07-24,298.18728813559323,49.94827586206897,80.89655172413794,0.0
290.195,2020-07-25,298.23333333333335,51.08620689655172,83.3793103448276,0.0
290.71666666666664,2020-07-26,297.96166666666664,51.72413793103448,84.24137931034483,0.0
289.9466666666665,2020-07-27,300.8666666666666,48.23728813559321,86.15254237288136,0.0
291.13000000000005,2020-07-28,298.00333333333333,55.711864406779654,85.57627118644069,0.0
289.5550847457628,2020-07-29,299.03135593220344,49.98275862068966,85.3793103448276,0.0
290.3620689655173,2020-07-30,302.7948275862069,44.33333333333334,80.91228070175438,0.0
292.48220338983043,2020-07-31,303.16525423728814,46.08620689655172,78.10344827586206,0.0
291.843220338983,2020-08-01,299.32796610169487,55.31578947368421,86.03508771929825,0.0
291.3327586206896,2020-08-02,297.60344827586215,54.03571428571429,84.82142857142857,0.0
289.5300000000001,2020-08-03,296.2600000000001,51.69491525423729,83.23728813559322,0.0
287.98220338983043,2020-08-04,297.10254237288143,44.46551724137931,84.8793103448276,0.0
287.92333333333335,2020-08-05,299.63333333333327,40.15254237288136,79.6949152542373,0.0
290.1347457627119,2020-08-06,302.685593220339,38.96551724137932,78.17241379310343,0.0
291.12118644067795,2020-08-07,303.37542372881364,40.0,75.89655172413794,0.0
292.2583333333333,2020-08-08,302.62333333333333,44.86206896551725,79.86206896551724,0.0
292.4966666666668,2020-08-09,302.87833333333333,45.46551724137931,82.13793103448276,0.0
292.6033333333333,2020-08-10,301.185,51.57627118644068,82.10169491525423,0.0
292.3966666666667,2020-08-11,302.43833333333333,46.17241379310346,85.24137931034483,0.0
292.45499999999987,2020-08-12,300.9933333333332,49.01724137931034,84.82758620689657,0.0
291.7033333333333,2020-08-13,298.2033333333332,59.25862068965517,87.3793103448276,0.0
291.5066666666665,2020-08-14,298.345,57.32758620689656,89.8103448275862,0.0
290.49666666666667,2020-08-15,299.65833333333336,49.894736842105246,90.31578947368419,0.0
290.86833333333334,2020-08-16,298.02166666666665,56.877192982456144,90.50877192982456,0.0
290.09,2020-08-17,297.59166666666664,55.63793103448275,89.94827586206898,0.0
290.45166666666677,2020-08-18,298.3983333333332,54.63793103448275,89.03448275862068,0.0
290.755,2020-08-19,299.6033333333333,53.91379310344828,86.82758620689656,0.0
292.11999999999995,2020-08-20,301.3766666666668,50.10344827586207,86.01724137931032,0.0
292.3533333333333,2020-08-21,299.765,53.61016949152543,83.6949152542373,0.0
290.85500000000013,2020-08-22,297.65833333333336,53.31034482758621,88.3103448275862,0.0
290.19166666666666,2020-08-23,296.6466666666667,52.75862068965517,83.89655172413794,0.0
288.92166666666657,2020-08-24,296.9600000000001,51.49152542372882,84.55932203389831,0.0
288.92000000000013,2020-08-25,298.74833333333333,51.10169491525424,85.22033898305084,0.0
290.24333333333334,2020-08-26,297.8233333333333,52.83050847457627,84.0,0.0
288.91666666666674,2020-08-27,298.5266666666665,52.23728813559321,87.13559322033899,0.0
289.3883333333334,2020-08-28,295.43833333333333,62.322033898305094,90.61016949152544,0.0
288.24666666666667,2020-08-29,293.98000000000013,60.94827586206897,91.03448275862068,0.0
287.8233333333332,2020-08-30,293.86833333333334,60.6551724137931,90.05172413793102,0.0
287.17833333333334,2020-08-31,294.84500000000014,53.03389830508476,89.22033898305084,0.0
286.83166666666665,2020-09-01,295.2733333333333,50.94915254237289,87.77966101694916,0.0
286.5,2020-09-02,296.19666666666666,48.62711864406779,86.96610169491525,0.0
287.60166666666663,2020-09-03,297.82000000000005,48.4406779661017,84.89830508474577,0.0
288.70666666666665,2020-09-04,299.08,48.20338983050848,84.64406779661017,0.0
