date,T_min,T_max,H_min,H_max,pos,age_pos,test,age_test,day_num,nb_cases
2020-03-27,280.445,289.73333333333335,51.81666666666667,83.76666666666667,1586,53.56021437578815,6523,49.9251111451786,5,111271
2020-03-28,281.8366666666667,291.365,53.83333333333334,86.43333333333334,523,53.84034416826004,1891,49.20095187731359,6,111794
2020-03-29,282.2283333333333,288.2033333333333,54.28333333333333,82.95,228,56.37719298245614,604,52.812086092715234,0,112022
2020-03-30,280.77833333333336,286.79833333333335,53.51666666666666,81.95,1910,54.96989528795812,8148,50.139420716740304,1,113932
2020-03-31,280.6716666666667,289.2316666666667,51.45,84.26666666666667,1790,55.46256983240224,8039,50.00348302027616,2,115722
2020-04-01,281.2,289.76,50.15,80.3,1466,55.1831514324693,7313,50.02974155613291,3,117188
2020-04-02,281.0116666666666,289.36333333333334,52.61666666666667,84.36666666666666,1578,55.119455006337134,7368,49.525312160694895,4,118766
2020-04-03,281.53644067796614,290.1906779661017,53.1864406779661,86.30508474576271,1665,56.34714714714715,8225,50.48705167173252,5,120431
2020-04-04,281.3566666666666,292.97500000000014,45.13333333333333,87.25,345,55.15652173913043,1675,51.051044776119404,6,120776
2020-04-05,283.2083333333333,294.7116666666667,43.21666666666667,79.21666666666667,120,61.61666666666667,377,58.07161803713528,0,120896
2020-04-06,284.66,292.9016666666667,49.11666666666667,81.75,1502,55.42276964047936,7598,51.504343248223215,1,122398
2020-04-07,284.775,294.28333333333336,50.36666666666667,85.13333333333334,1429,59.413925822253326,7777,52.556705670567055,2,123827
2020-04-08,285.11833333333334,295.3066666666666,46.76666666666666,82.31666666666666,1691,62.718214074512126,10039,56.36671979280805,3,125518
2020-04-09,284.51666666666665,295.86833333333334,43.36666666666667,82.68333333333334,1587,65.90705734089477,10547,56.67881862140893,4,127105
2020-04-10,285.0008474576272,295.93135593220336,42.76271186440678,79.13559322033899,1927,65.77426050856253,11493,57.258592186548334,5,129032
2020-04-11,284.9533898305085,295.9415254237288,42.91525423728814,82.15254237288136,242,58.19834710743802,1618,54.16532756489493,6,129274
2020-04-12,285.23644067796613,294.7533898305084,49.10169491525424,83.91525423728814,71,55.978873239436616,388,57.20747422680412,0,129345
2020-04-13,284.9872881355933,292.72627118644067,53.525423728813564,85.13559322033899,206,67.74029126213593,1155,61.277056277056275,1,129551
2020-04-14,283.2177966101695,292.01101694915263,45.1864406779661,81.16949152542372,1422,63.832981715893105,11871,58.71405104877432,2,130973
2020-04-15,282.89576271186445,294.32457627118634,43.152542372881356,78.16949152542372,1208,62.461092715231786,12554,57.69559502947268,3,132181
2020-04-16,285.36864406779665,294.89576271186434,50.525423728813564,81.42372881355931,1082,64.74584103512015,11943,57.26752072343632,4,133263
2020-04-17,286.2533898305085,294.54152542372884,56.050847457627114,87.40677966101696,959,63.54118873826903,11457,58.378894998690754,5,134222
2020-04-18,286.5330508474576,294.0838983050848,60.83050847457627,91.27118644067795,184,64.2663043478261,2353,55.05546111347216,6,134406
2020-04-19,286.56186440677965,291.84830508474573,69.7457627118644,93.47457627118642,32,55.5625,501,64.57984031936128,0,134438
2020-04-20,287.2800000000001,292.245,67.91666666666667,88.71666666666668,658,62.7370820668693,9173,58.219993459064646,1,135096
